Analysis,Model,Train_Molecule_Count,N_Repeats,Mean_Train_Row_Count,Mean_Test_Row_Count,Mean_Test_Molecule_Count,Mean_R2_Test,SD_R2_Test,Mean_MAE_Test,SD_MAE_Test,Mean_RMSE_Test,SD_RMSE_Test,Pooled_R2,Pooled_R2_bootstrap_SD,Pooled_MAE,Pooled_MAE_bootstrap_SD,Pooled_RMSE,Pooled_RMSE_bootstrap_SD,Pooled_Residuals_SD
MoleculeCountLearningCurve,RandomForestOpt1,20,30,1806.0,4404.0,51.0,0.8612750025557738,0.06201060849408104,4.9019052709537645,1.1574120763235305,7.782000829228695,1.729544464067215,0.8620818572364524,0.0010428659705320217,4.9166374452517925,0.017321570736340334,7.935610942318591,0.02819216582933823,7.871961039376943
MoleculeCountLearningCurve,RandomForestOpt1,40,30,3440.0,2770.0,31.0,0.9182475423431019,0.040772346837667534,3.3454743376335414,0.8183837368845549,5.868768427897651,1.4983480030815275,0.9174298560336897,0.0009372565153146929,3.358640116325712,0.017911336091738037,6.1005863043257875,0.033090324113392584,6.036440015677214
MoleculeCountLearningCurve,RandomForestOpt1,60,30,5213.0,997.0,11.0,0.9025233860724335,0.15415494514886618,3.150543270906422,2.06062733444383,5.30864497628609,2.7100289605399626,0.9325578099991303,0.0014847473738383295,2.8060030591775327,0.02744967892132188,5.453505082121187,0.05765237740219025,5.442738265040219
MoleculeCountLearningCurve,RandomForestOpt1,70,30,6132.0,78.0,1.0,0.878336027765082,0.147554860514862,3.545945207631876,2.9240574248109685,3.983395462167122,3.3149968483528487,0.9425746251214288,0.0037679279303660823,3.1344931054131053,0.08672195196113233,5.219692192507455,0.16002260958465533,5.206274865347464
