Type,Source,Source_Importance,Total_Importance,Importance_std,Model
Electronic,Radical,0.2521346282792074,0.3672757838575684,0.08008409481343212,GradientBoosting
Electronic,Molecule,0.11514115557836102,0.3672757838575684,0.08008409481343212,GradientBoosting
Electronic,Site,0.0,0.3672757838575684,0.08008409481343212,GradientBoosting
Structural,Radical,0.1853639200409025,0.3061898230514494,0.07080039822953924,GradientBoosting
Structural,Molecule,0.12082590301054687,0.3061898230514494,0.07080039822953924,GradientBoosting
Structural,Site,0.0,0.3061898230514494,0.07080039822953924,GradientBoosting
Experimental,Site,0.19035925441315818,0.24226181471256578,0.03054691283203807,GradientBoosting
Experimental,Molecule,0.0519025602994076,0.24226181471256578,0.03054691283203807,GradientBoosting
Experimental,Radical,0.0,0.24226181471256578,0.03054691283203807,GradientBoosting
VSA,Molecule,0.07843661689027652,0.08432228055240172,0.025653491736342175,GradientBoosting
VSA,Radical,0.005885663662125202,0.08432228055240172,0.025653491736342175,GradientBoosting
VSA,Site,0.0,0.08432228055240172,0.025653491736342175,GradientBoosting
Electronic,Radical,0.24215122786284068,0.3745977542718325,0.020269593564434044,RandomForest
Electronic,Molecule,0.1324465264089918,0.3745977542718325,0.020269593564434044,RandomForest
Electronic,Site,0.0,0.3745977542718325,0.020269593564434044,RandomForest
Experimental,Site,0.2183834595530716,0.3258885503290091,0.02361271417099006,RandomForest
Experimental,Molecule,0.1075050907759375,0.3258885503290091,0.02361271417099006,RandomForest
Experimental,Radical,0.0,0.3258885503290091,0.02361271417099006,RandomForest
Structural,Radical,0.17063386684735013,0.23332417266605338,0.018153287986949453,RandomForest
Structural,Molecule,0.06269030581870325,0.23332417266605338,0.018153287986949453,RandomForest
Structural,Site,0.0,0.23332417266605338,0.018153287986949453,RandomForest
VSA,Molecule,0.05420229877092982,0.06629943539566605,0.023519019527056612,RandomForest
VSA,Radical,0.01209713662473622,0.06629943539566605,0.023519019527056612,RandomForest
VSA,Site,0.0,0.06629943539566605,0.023519019527056612,RandomForest
Electronic,Radical,0.2476262528921169,0.3804661025636018,0.016096705527849794,RandomForestOpt1
Electronic,Molecule,0.13283984967148493,0.3804661025636018,0.016096705527849794,RandomForestOpt1
Electronic,Site,0.0,0.3804661025636018,0.016096705527849794,RandomForestOpt1
Experimental,Site,0.2181020269611598,0.3198526591147108,0.017094940462464923,RandomForestOpt1
Experimental,Molecule,0.101750632153551,0.3198526591147108,0.017094940462464923,RandomForestOpt1
Experimental,Radical,0.0,0.3198526591147108,0.017094940462464923,RandomForestOpt1
Structural,Radical,0.16558693843790734,0.2301751828222925,0.011122860226029393,RandomForestOpt1
Structural,Molecule,0.06458824438438517,0.2301751828222925,0.011122860226029393,RandomForestOpt1
Structural,Site,0.0,0.2301751828222925,0.011122860226029393,RandomForestOpt1
VSA,Molecule,0.057286558557614005,0.06961565455515444,0.02461190710785331,RandomForestOpt1
VSA,Radical,0.012329095997540432,0.06961565455515444,0.02461190710785331,RandomForestOpt1
VSA,Site,0.0,0.06961565455515444,0.02461190710785331,RandomForestOpt1
