Model,SMILES_Class,Feature,sum_importance,mean_importance,std_importance,n,sum_share,mean_share,Type,Source
RandomForestOpt1,Phenols,SMILES_Parent_Level_Anthracenes,0.00011124771546566049,6.180428636981138e-06,1.518780530096648e-06,18,6.1804286369811744e-06,6.180417464086083e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_SMR_VSA6,0.00011055807634501575,6.142115352500875e-06,1.2112813245990534e-06,18,6.142115352500911e-06,6.1421042488680565e-06,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_RADICAL_EState_VSA6,0.00010604083301339816,5.891157389633232e-06,6.810206601995317e-07,18,5.891157389633266e-06,5.8911467396788135e-06,VSA,Radical
RandomForestOpt1,Phenols,RADICAL_CH3S,0.00010380863517631867,5.767146398684371e-06,6.801616452209559e-07,18,5.7671463986844045e-06,5.76713597291534e-06,Structural,Radical
RandomForestOpt1,Phenols,SMILES_Parent_Level_Phenols,7.752061126060968e-05,4.306700625589426e-06,1.504887914121047e-06,18,4.306700625589452e-06,4.306692839994454e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Hydroquinones,7.721639131309655e-05,4.542140665476268e-06,1.3268567741963785e-06,17,4.289799517394278e-06,4.542132454255985e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Resorcinols,7.235149192048095e-05,4.255970112969468e-06,5.344311289768301e-06,17,4.019527328915632e-06,4.255962419084428e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Class_Cinnamic acids and derivatives,6.531574500825671e-05,3.628652500458706e-06,3.970258309441114e-06,18,3.6286525004587278e-06,3.628645940629937e-06,Structural,Molecule
RandomForestOpt1,Phenols,RADICAL_CH3OO,6.27380389842396e-05,3.4854466102355336e-06,2.7258425985542986e-07,18,3.4854466102355544e-06,3.48544030929243e-06,Structural,Radical
RandomForestOpt1,Phenols,SMILES_Class_Phenols,6.215487859467426e-05,3.4530488108152366e-06,2.3048051020471306e-06,18,3.453048810815257e-06,3.4530425684404356e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA8,6.014365013031356e-05,3.341313896128531e-06,3.206549070112181e-07,18,3.341313896128551e-06,3.3413078557465934e-06,VSA,Radical
RandomForestOpt1,Phenols,SMILES_Parent_Level_Phloroglucinols and derivatives,5.698977768876424e-05,3.3523398640449553e-06,4.829987977818722e-06,17,3.166098760486921e-06,3.3523338037304223e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_3-O-methylated flavonoids,5.4774404377459714e-05,3.0430224654144286e-06,5.8484774482099e-07,18,3.0430224654144464e-06,3.043016964279693e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_SMR_VSA5,4.5225647658333405e-05,2.5125359810185225e-06,2.328342927861959e-06,18,2.5125359810185374e-06,2.5125314388900576e-06,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA12,3.114956131881906e-05,1.7305311843788366e-06,2.3709187124834032e-07,18,1.7305311843788467e-06,1.7305280559480355e-06,VSA,Radical
RandomForestOpt1,Phenols,SMILES_Parent_Level_Catechols,3.084332451581456e-05,1.8143132068126212e-06,1.5098136226735394e-06,17,1.7135180286563745e-06,1.8143099269218164e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Hydroxycinnamic acids,2.9690836244861418e-05,1.649490902492301e-06,1.3361695850358112e-06,18,1.6494909024923109e-06,1.649487920565022e-06,Structural,Molecule
RandomForestOpt1,Phenols,RADICAL_CH3SO,2.9686248082298214e-05,1.649236004572123e-06,2.0832806685522454e-07,18,1.6492360045721328e-06,1.6492330231056452e-06,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA7,2.9028018128894e-05,1.6126676738274444e-06,2.626877369107777e-07,18,1.612667673827454e-06,1.612664758468699e-06,VSA,Radical
RandomForestOpt1,Phenols,RADICAL_HSS,2.8979161166386706e-05,1.6099533981325947e-06,2.446922161146688e-07,18,1.6099533981326043e-06,1.60995048768068e-06,Structural,Radical
RandomForestOpt1,Phenols,SMILES_Class_Organooxygen compounds,2.831151349116469e-05,1.5728618606202606e-06,9.406788361179496e-07,18,1.5728618606202699e-06,1.5728590172219242e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_RADICAL_VSA_EState1,2.74747143123912e-05,1.5263730173550666e-06,2.700753989435816e-07,18,1.5263730173550757e-06,1.5263702579986306e-06,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_EState_VSA1,2.7114139326347827e-05,1.5063410736859905e-06,2.411562930507907e-07,18,1.5063410736859994e-06,1.5063383505430304e-06,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA2,2.6892120699087592e-05,1.4940067055048662e-06,2.2946193694457573e-07,18,1.4940067055048751e-06,1.4940040046598096e-06,VSA,Radical
RandomForestOpt1,Phenols,SMILES_Parent_Level_Ketones,2.683621314993902e-05,1.4909007305521677e-06,1.1240462832704756e-06,18,1.4909007305521766e-06,1.4908980353220506e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Styrenes,2.2708420904738275e-05,1.2615789391521263e-06,2.9356784018721043e-07,18,1.261578939152134e-06,1.261576658486833e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Superclass_Organic oxygen compounds,2.0643710204381987e-05,1.1468727891323326e-06,1.0183230820231455e-06,18,1.1468727891323394e-06,1.1468707158312614e-06,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Hydroxycinnamic acids and derivatives,1.5630071398383995e-05,8.683372999102219e-07,3.7904880617171566e-07,18,8.683372999102271e-07,8.683357301418298e-07,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Stilbenes,1.181925928529404e-05,6.566255158496689e-07,2.2403200704193123e-07,18,6.566255158496728e-07,6.566243288109682e-07,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Class_Stilbenes,1.1207152878626872e-05,6.226196043681595e-07,1.6900510206250883e-07,18,6.226196043681632e-07,6.226184788048844e-07,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_Parent_Level_Biphenols,7.808705107978014e-06,4.33816950443223e-07,1.271054239118525e-07,18,4.3381695044322556e-07,4.338161661948246e-07,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_EState_VSA11,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_NumAromaticHeterocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_NumSaturatedCarbocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_NumSaturatedHeterocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_NumSaturatedRings,0.0,0.0,0.0,18,0.0,0.0,Structural,Molecule
RandomForestOpt1,Phenols,SMILES_PEOE_VSA4,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_PEOE_VSA5,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_RADICAL_Chi4n,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_Chi4v,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_EState_VSA10,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_EState_VSA11,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_EState_VSA3,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAliphaticCarbocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAliphaticHeterocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAliphaticRings,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAromaticCarbocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAromaticHeterocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumAromaticRings,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumSaturatedCarbocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumSaturatedHeterocycles,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_NumSaturatedRings,0.0,0.0,0.0,18,0.0,0.0,Structural,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA10,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA11,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA12,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA13,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA14,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA3,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_PEOE_VSA5,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA2,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA3,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA4,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA5,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA8,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SMR_VSA9,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA10,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA11,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA4,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA5,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA7,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA8,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_SlogP_VSA9,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_VSA_EState4,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_VSA_EState5,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_RADICAL_VSA_EState6,0.0,0.0,0.0,18,0.0,0.0,VSA,Radical
RandomForestOpt1,Phenols,SMILES_SMR_VSA2,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SMR_VSA3,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SMR_VSA4,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SMR_VSA8,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SlogP_VSA10,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SlogP_VSA12,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_SlogP_VSA7,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
