Model,SMILES_Class,R2,R2_bootstrap_STD,MAE,MAE_bootstrap_STD,RMSE,RMSE_bootstrap_STD,Residuals_STD
GradientBoosting,Overall,0.9226884378049051,0.002039460478639498,4.363707227592061,0.05050411216033666,5.927879352582092,0.07229944324383533,5.915606867654001
GradientBoosting,Anthracenes,0.914345565681918,0.01686967271561331,3.251561371133426,0.3011080925410122,4.2898932712297455,0.3052406933126504,3.9763109502275586
GradientBoosting,Benzene and substituted derivatives,0.7643120139065445,0.03188609599751255,4.17499442553199,0.2733910668019385,7.260487842751692,0.4730097877125103,7.050597072964959
GradientBoosting,Cinnamic acids and derivatives,0.931401365872442,0.009718757153606374,2.676887877282083,0.1637469197783111,3.7544485231245472,0.2354322470400443,3.6182421900978614
GradientBoosting,Flavonoids,0.9146756084670999,0.003004401473535852,4.090630973733165,0.058506549507460946,5.469956074156123,0.0798963809738766,5.387537696220651
GradientBoosting,Naphthacenes,0.7896357101611623,0.04112053345601246,5.306889089779997,0.4544276800347807,6.8755993543931595,0.4288347978324636,4.986352663073531
GradientBoosting,Naphthalenes,0.9068907435128882,0.0220538125451767,4.128399301121679,0.15065684101690488,4.286825882486953,0.14256482163326772,1.1643847683377841
GradientBoosting,Organooxygen compounds,0.8452567308174274,0.03721881174521325,4.241865287618733,0.38495155697309785,5.68001906424927,0.448966228393768,3.8688921029851873
GradientBoosting,Phenols,0.7979197667616893,0.01055144857491291,6.119509145302661,0.13532165037563426,7.57858730586058,0.15123004366309625,7.4463295082406455
GradientBoosting,Stilbenes,0.942642404933002,0.006551935349898951,2.9713978614985104,0.11445165175642327,3.3778451428669007,0.11901313561528923,2.9070230964531385
LinearRegression,Overall,-3.8951507399616246e+18,2.1319999714054653e+17,10568598905.902765,514006666.0534052,42076466961.68561,1086711672.6377578,41141327484.998245
LinearRegression,Anthracenes,0.9784430373419761,0.004077178609728187,1.9959522569444441,0.08570657112362325,2.1521143659518946,0.08144151435739512,1.9584848640105232
LinearRegression,Benzene and substituted derivatives,-92176047677732.31,17751777264676.527,37073244.78960636,6379422.770027845,143584024.21307817,12450153.967156252,138869731.38613614
LinearRegression,Cinnamic acids and derivatives,0.7944801830959237,0.024643670278572324,5.284651291458696,0.2280817565483642,6.498532152949499,0.25962876605755064,6.510504528535263
LinearRegression,Flavonoids,-7.789871063087094e+18,4.366054573367132e+17,15203271261.177896,786315446.5824207,52265170743.07215,1351961492.2818282,50011498052.19348
